engine,profile,orders,throughput_ops_per_sec,service_p50_ns,service_p95_ns,service_p99_ns,end_to_end_p50_ns,end_to_end_p95_ns,end_to_end_p99_ns,queue_delay_p50_ns,queue_delay_p95_ns,queue_delay_p99_ns,max_queue_depth,total_fills,total_rejects
baseline_single_thread,balanced,200000,5943322.87,84.00,334.00,541.00,84.00,334.00,541.00,0.00,0.00,0.00,0,146731,31483
optimized_single_thread,balanced,200000,13927011.18,42.00,83.00,125.00,42.00,83.00,125.00,0.00,0.00,0.00,0,146731,31483
intrusive_single_thread,balanced,200000,13154360.37,42.00,125.00,166.00,42.00,125.00,166.00,0.00,0.00,0.00,0,146731,31486
optimized_concurrent_pipeline,balanced,200000,8881964.11,41.00,83.00,84.00,6686250.00,7894833.00,7964208.00,6686167.00,7894792.00,7964208.00,65536,146731,31483
