engine,profile,orders,throughput_ops_per_sec,service_p50_ns,service_p95_ns,service_p99_ns,end_to_end_p50_ns,end_to_end_p95_ns,end_to_end_p99_ns,queue_delay_p50_ns,queue_delay_p95_ns,queue_delay_p99_ns,max_queue_depth,total_fills,total_rejects
baseline_single_thread,bursty,5000,8845643.52,83.00,209.00,375.00,83.00,209.00,375.00,0.00,0.00,0.00,0,4171,559
optimized_single_thread,bursty,5000,11724484.01,42.00,167.00,250.00,42.00,167.00,250.00,0.00,0.00,0.00,0,4171,559
optimized_concurrent_pipeline,bursty,5000,7628253.83,42.00,167.00,209.00,259958.00,439667.00,455666.00,259958.00,439625.00,455625.00,4008,4171,559
