engine,profile,orders,throughput_ops_per_sec,service_p50_ns,service_p95_ns,service_p99_ns,end_to_end_p50_ns,end_to_end_p95_ns,end_to_end_p99_ns,queue_delay_p50_ns,queue_delay_p95_ns,queue_delay_p99_ns,max_queue_depth,total_fills,total_rejects
optimized_single_thread,aapl_lobster_normalized,48389,17559017.52,42.00,42.00,84.00,42.00,42.00,84.00,0.00,0.00,0.00,0,4288,799
replay_matcher,aapl_lobster_normalized,48389,7800641.22,42.00,83.00,84.00,42.00,83.00,84.00,0.00,0.00,0.00,0,4288,799
replay_features,aapl_lobster_normalized,48389,6466055.78,42.00,83.00,84.00,83.00,84.00,125.00,0.00,0.00,0.00,0,4288,799
replay_features_heuristic,aapl_lobster_normalized,48389,6338755.38,41.00,42.00,84.00,83.00,84.00,126.00,0.00,0.00,0.00,0,4288,799
replay_features_logistic,aapl_lobster_normalized,48389,5544772.88,41.00,42.00,83.00,84.00,126.00,126.00,0.00,0.00,0.00,0,4288,799
