engine,profile,orders,throughput_ops_per_sec,service_p50_ns,service_p95_ns,service_p99_ns,end_to_end_p50_ns,end_to_end_p95_ns,end_to_end_p99_ns,queue_delay_p50_ns,queue_delay_p95_ns,queue_delay_p99_ns,max_queue_depth,total_fills,total_rejects
baseline_single_thread,bursty,200000,10353440.58,83.00,208.00,250.00,83.00,208.00,250.00,0.00,0.00,0.00,0,167884,23931
optimized_single_thread,bursty,200000,16463219.69,41.00,83.00,84.00,41.00,83.00,84.00,0.00,0.00,0.00,0,167884,23931
intrusive_single_thread,bursty,200000,13979618.55,42.00,84.00,125.00,42.00,84.00,125.00,0.00,0.00,0.00,0,167884,27834
optimized_concurrent_pipeline,bursty,200000,8478857.74,41.00,83.00,84.00,6936458.00,8579166.00,8604708.00,6936416.00,8579125.00,8604667.00,65536,167884,23931
