engine,profile,orders,throughput_ops_per_sec,service_p50_ns,service_p95_ns,service_p99_ns,end_to_end_p50_ns,end_to_end_p95_ns,end_to_end_p99_ns,queue_delay_p50_ns,queue_delay_p95_ns,queue_delay_p99_ns,max_queue_depth,total_fills,total_rejects
baseline_single_thread,balanced,200000,5408883.46,125.00,375.00,542.00,125.00,375.00,542.00,0.00,0.00,0.00,0,146731,31483
optimized_single_thread,balanced,200000,13135354.64,42.00,84.00,167.00,42.00,84.00,167.00,0.00,0.00,0.00,0,146731,31483
optimized_concurrent_pipeline,balanced,200000,7564391.79,41.00,83.00,166.00,7021833.00,10389000.00,10452458.00,7021833.00,10389000.00,10452458.00,65536,146731,31483
